µÿ√Ê’æ±Í ∂,Œ¿–«±Í ∂,ø™ ºΩ®¡¥ ±º‰,Ω· ¯Ω®¡¥ ±º‰,ø™ º∏˙◊Ÿ ±º‰,Ω· ¯∏˙◊Ÿ ±º‰, «∑Ò¿°µÁ,◊Ó¥Û—ˆΩ«,»ŒŒÒ÷¥––»’∆⁄,»¶¥Œ,…˝ΩµπÏ±Í ∂,”≈œ»º∂
'abuja-1',Œ¿–«-1',29015,29241,28995,29261,' «','*',1,'*','*',
'abuja-1',Œ¿–«-1',35048,36215,35028,36235,' «','*',1,'*','*',
'abuja-1',Œ¿–«-1',41735,42627,41715,42647,' «','*',1,'*','*',
'abuja-1',Œ¿–«-1',77229,78384,77209,78404,' «','*',1,'*','*',
'abuja-1',Œ¿–«-1',83857,84812,83837,84832,' «','*',1,'*','*',
'abuja-1',Œ¿–«-1',120091,121225,120071,121245,' «','*',2,'*','*',
'abuja-1',Œ¿–«-1',126696,127706,126676,127726,' «','*',2,'*','*',
'abuja-1',Œ¿–«-1',162273,163384,162253,163404,' «','*',2,'*','*',
'abuja-1',Œ¿–«-1',168838,169889,168818,169909,' «','*',2,'*','*',
'abuja-1',Œ¿–«-1',205146,206224,205126,206244,' «','*',3,'*','*',
'abuja-1',Œ¿–«-1',211677,212767,211657,212787,' «','*',3,'*','*',
'abuja-1',Œ¿–«-1',247329,248371,247309,248391,' «','*',3,'*','*',
'abuja-1',Œ¿–«-1',253832,254949,253812,254969,' «','*',3,'*','*',
'abuja-2',Œ¿–«-1',29014,29237,28994,29257,' «','*',1,'*','*',
'abuja-2',Œ¿–«-1',35046,36213,35026,36233,' «','*',1,'*','*',
'abuja-2',Œ¿–«-1',41733,42625,41713,42645,' «','*',1,'*','*',
'abuja-2',Œ¿–«-1',77231,78385,77211,78405,' «','*',1,'*','*',
'abuja-2',Œ¿–«-1',83859,84813,83839,84833,' «','*',1,'*','*',
'abuja-2',Œ¿–«-1',120089,121223,120069,121243,' «','*',2,'*','*',
'abuja-2',Œ¿–«-1',126694,127704,126674,127724,' «','*',2,'*','*',
'abuja-2',Œ¿–«-1',162275,163386,162255,163406,' «','*',2,'*','*',
